,bottle,producer,color,shape,width,height,age
0,0,Pietro,green,long,12.16,25.12,33
1,1,Romeo,green,onion,18.92,18.14,22
2,2,Pietro,blue,long,11.05,32.65,33
3,3,Monica,green,onion,18.49,19.28,56
4,4,Pietro,green,long,10.32,29.29,36
5,5,Pietro,yellow,onion,19.45,15.1,48
6,6,Pietro,blue,long,10.08,31.88,56
7,7,Monica,blue,artistic,18.52,9.4,6
8,8,Pietro,green,onion,18.93,12.83,2
9,9,Romeo,green,premium,13.8,22.76,4
10,10,Romeo,green,premium,14.88,21.11,52
11,11,Pietro,green,long,10.5,27.24,9
12,12,Pietro,green,long,11.7,31.73,31
13,13,Romeo,yellow,long,12.67,33.22,53
14,14,Pietro,green,long,10.97,33.28,1
15,15,Pietro,green,long,12.91,34.02,25
16,16,Pietro,green,long,12.45,32.74,36
17,17,Pietro,green,long,13.35,31.49,40
18,18,Pietro,green,long,11.75,28.25,33
19,19,Monica,green,onion,22.9,19.01,53
20,20,Pietro,green,long,13.12,29.52,19
21,21,Pietro,green,long,12.54,25.17,53
22,22,Pietro,green,long,10.91,28.56,2
23,23,Romeo,green,long,12.63,35.84,15
24,24,Romeo,green,long,12.51,31.39,27
25,25,Monica,blue,artistic,17.83,19.39,22
26,26,Pietro,green,onion,18.5,14.85,21
27,27,Pietro,green,long,11.61,31.02,22
28,28,Monica,green,artistic,11.37,19.99,54
29,29,Pietro,green,premium,14.22,21.32,10
30,30,Monica,green,onion,20.66,16.27,12
31,31,Monica,green,premium,14.48,22.62,43
32,32,Pietro,green,long,12.76,29.85,39
33,33,Monica,green,long,12.9,29.78,24
34,34,Monica,blue,artistic,4.54,22.5,32
35,35,Monica,green,artistic,10.12,25.53,42
36,36,Pietro,yellow,onion,18.87,11.94,22
37,37,Pietro,blue,long,12.94,28.73,53
38,38,Romeo,blue,premium,13.96,20.97,37
39,39,Pietro,green,long,13.24,26.91,20
40,40,Monica,green,premium,13.75,21.8,19
41,41,Monica,blue,premium,14.98,22.21,21
42,42,Monica,green,long,9.83,33.21,5
43,43,Monica,green,artistic,11.88,18.51,56
44,44,Monica,green,premium,14.23,22.85,51
45,45,Romeo,green,long,12.95,34.43,1
46,46,Pietro,green,long,11.64,31.51,47
47,47,Romeo,green,premium,14.13,21.92,52
48,48,Monica,blue,artistic,15.12,16.87,41
49,49,Pietro,green,long,13.91,29.88,4
50,50,Monica,green,long,11.69,28.31,35
51,51,Monica,green,premium,14.29,22.82,34
52,52,Monica,green,long,13.34,33.47,44
53,53,Pietro,green,long,12.68,35.74,48
54,54,Romeo,yellow,long,11.6,29.51,41
55,55,Pietro,green,long,12.05,30.58,27
56,56,Romeo,green,premium,13.4,22.31,5
57,57,Pietro,green,long,11.71,27.85,54
58,58,Pietro,green,long,12.7,27.89,28
59,59,Pietro,blue,long,11.33,33.41,48
60,60,Pietro,green,onion,21.18,12.72,46
61,61,Pietro,green,onion,22.29,15.14,4
62,62,Romeo,green,long,11.41,27.32,0
63,63,Romeo,yellow,premium,14.13,22.06,23
64,64,Romeo,green,premium,14.41,21.5,23
65,65,Pietro,blue,long,12.49,31.59,44
66,66,Romeo,green,onion,21.69,15.67,44
67,67,Pietro,blue,long,11.06,26.37,18
