,bottle,producer,color,shape,age,weight,simple_surface,color_shape
0,0,Pietro,green,long,33,,305.4592,green_long
1,1,Romeo,green,onion,22,,343.20880000000005,green_onion
2,2,Pietro,blue,long,33,,360.7825,blue_long
3,3,Monica,green,onion,56,,356.4872,green_onion
4,4,Pietro,green,long,36,,302.2728,green_long
5,5,Pietro,yellow,onion,48,,293.695,yellow_onion
6,6,Pietro,blue,long,56,,321.3504,blue_long
7,7,Monica,blue,artistic,6,,174.088,blue_artistic
8,8,Pietro,green,onion,2,,242.8719,green_onion
9,9,Romeo,green,premium,4,,314.088,green_premium
10,10,Romeo,green,premium,52,5.55,314.1168,green_premium
11,11,Pietro,green,long,9,,286.02,green_long
12,12,Pietro,green,long,31,,371.241,green_long
13,13,Romeo,yellow,long,53,,420.8974,yellow_long
14,14,Pietro,green,long,1,,365.08160000000004,green_long
15,15,Pietro,green,long,25,,439.19820000000004,green_long
16,16,Pietro,green,long,36,,407.613,green_long
17,17,Pietro,green,long,40,,420.39149999999995,green_long
18,18,Pietro,green,long,33,,331.9375,green_long
19,19,Monica,green,onion,53,,435.329,green_onion
20,20,Pietro,green,long,19,4.26,387.3024,green_long
21,21,Pietro,green,long,53,,315.6318,green_long
22,22,Pietro,green,long,2,,311.58959999999996,green_long
23,23,Romeo,green,long,15,,452.65920000000006,green_long
24,24,Romeo,green,long,27,,392.6889,green_long
25,25,Monica,blue,artistic,22,,345.72369999999995,blue_artistic
26,26,Pietro,green,onion,21,,274.72499999999997,green_onion
27,27,Pietro,green,long,22,,360.1422,green_long
28,28,Monica,green,artistic,54,,227.28629999999995,green_artistic
29,29,Pietro,green,premium,10,,303.17040000000003,green_premium
30,30,Monica,green,onion,12,7.08,336.1382,green_onion
31,31,Monica,green,premium,43,,327.5376,green_premium
32,32,Pietro,green,long,39,,380.886,green_long
33,33,Monica,green,long,24,,384.16200000000003,green_long
34,34,Monica,blue,artistic,32,,102.15,blue_artistic
35,35,Monica,green,artistic,42,,258.3636,green_artistic
36,36,Pietro,yellow,onion,22,,225.30780000000001,yellow_onion
37,37,Pietro,blue,long,53,,371.76619999999997,blue_long
38,38,Romeo,blue,premium,37,,292.7412,blue_premium
39,39,Pietro,green,long,20,,356.2884,green_long
40,40,Monica,green,premium,19,4.8,299.75,green_premium
41,41,Monica,blue,premium,21,,332.7058,blue_premium
42,42,Monica,green,long,5,,326.4543,green_long
43,43,Monica,green,artistic,56,,219.89880000000002,green_artistic
44,44,Monica,green,premium,51,,325.1555,green_premium
45,45,Romeo,green,long,1,,445.8685,green_long
46,46,Pietro,green,long,47,,366.7764,green_long
47,47,Romeo,green,premium,52,,309.72960000000006,green_premium
48,48,Monica,blue,artistic,41,,255.0744,blue_artistic
49,49,Pietro,green,long,4,,415.63079999999997,green_long
50,50,Monica,green,long,35,3.25,330.9439,green_long
51,51,Monica,green,premium,34,,326.0978,green_premium
52,52,Monica,green,long,44,,446.4898,green_long
53,53,Pietro,green,long,48,,453.1832,green_long
54,54,Romeo,yellow,long,41,,342.31600000000003,yellow_long
55,55,Pietro,green,long,27,,368.489,green_long
56,56,Romeo,green,premium,5,,298.954,green_premium
57,57,Pietro,green,long,54,,326.12350000000004,green_long
58,58,Pietro,green,long,28,,354.203,green_long
59,59,Pietro,blue,long,48,,378.53529999999995,blue_long
60,60,Pietro,green,onion,46,5.21,269.4096,green_onion
61,61,Pietro,green,onion,4,,337.4706,green_onion
62,62,Romeo,green,long,0,,311.7212,green_long
63,63,Romeo,yellow,premium,23,,311.7078,yellow_premium
64,64,Romeo,green,premium,23,,309.815,green_premium
65,65,Pietro,blue,long,44,,394.5591,blue_long
66,66,Romeo,green,onion,44,,339.88230000000004,green_onion
67,67,Pietro,blue,long,18,,291.65220000000005,blue_long
68,68,Pietro,green,onion,9,,351.43359999999996,green_onion
69,69,Pietro,green,long,47,,428.29799999999994,green_long
70,70,Monica,green,artistic,6,2.95,192.16670000000002,green_artistic
71,71,Pietro,green,long,21,,360.3936,green_long
72,72,Pietro,green,premium,28,,316.078,green_premium
73,73,Pietro,yellow,premium,15,,305.99670000000003,yellow_premium
74,74,Pietro,blue,long,32,,356.6784,blue_long
75,75,Pietro,green,onion,17,,326.6514,green_onion
76,76,Romeo,green,premium,31,,327.8902,green_premium
77,77,Romeo,green,long,22,,392.779,green_long
78,78,Monica,blue,long,42,,361.1903,blue_long
79,79,Monica,green,artistic,27,,42.728,green_artistic
80,80,Monica,blue,onion,25,6.46,356.7798,blue_onion
81,81,Monica,green,artistic,41,,97.2807,green_artistic
82,82,Monica,green,premium,8,,306.2759,green_premium
83,83,Romeo,green,long,36,,346.5048,green_long
84,84,Romeo,yellow,long,46,,396.45980000000003,yellow_long
85,85,Pietro,green,onion,29,,328.34850000000006,green_onion
86,86,Monica,yellow,artistic,25,,270.08520000000004,yellow_artistic
87,87,Pietro,green,long,33,,436.64920000000006,green_long
88,88,Pietro,blue,long,51,,322.4152,blue_long
89,89,Pietro,blue,long,52,,358.1868,blue_long
90,90,Monica,green,long,37,4.05,386.74,green_long
91,91,Pietro,green,premium,3,,327.26820000000004,green_premium
92,92,Pietro,green,long,1,,390.0912,green_long
93,93,Pietro,green,long,11,,421.1229000000001,green_long
94,94,Pietro,green,long,51,,344.5926,green_long
95,95,Pietro,blue,long,4,,374.13870000000003,blue_long
96,96,Pietro,green,long,34,,415.81640000000004,green_long
97,97,Romeo,green,premium,46,,301.5222,green_premium
98,98,Monica,green,artistic,47,,88.1562,green_artistic
99,99,Pietro,yellow,long,57,,354.72799999999995,yellow_long
100,100,Monica,green,onion,26,4.34,260.524,green_onion
101,101,Monica,green,artistic,22,,270.5702,green_artistic
102,102,Pietro,green,long,18,,351.09099999999995,green_long
103,103,Monica,green,artistic,3,,144.86610000000002,green_artistic
104,104,Monica,green,artistic,33,,70.5678,green_artistic
105,105,Romeo,green,premium,55,,285.2694,green_premium
106,106,Romeo,green,long,32,,396.18670000000003,green_long
107,107,Pietro,blue,long,21,,435.285,blue_long
108,108,Romeo,green,premium,29,,286.1023,green_premium
109,109,Pietro,green,onion,52,,264.9724,green_onion
110,110,Pietro,green,long,40,4.43,367.1325,green_long
111,111,Romeo,green,premium,58,,291.9312,green_premium
112,112,Pietro,green,long,49,,341.2864,green_long
113,113,Romeo,blue,premium,43,,300.838,blue_premium
114,114,Monica,green,artistic,28,,327.63509999999997,green_artistic
115,115,Pietro,blue,long,21,,374.6873,blue_long
116,116,Romeo,blue,premium,8,,300.827,blue_premium
117,117,Pietro,green,long,43,,280.2462,green_long
118,118,Romeo,green,premium,55,,307.73699999999997,green_premium
119,119,Romeo,green,long,33,,403.13280000000003,green_long
120,120,Pietro,blue,long,16,3.36,333.38530000000003,blue_long
121,121,Pietro,green,long,40,,347.1336,green_long
122,122,Pietro,green,long,48,,252.30599999999995,green_long
123,123,Pietro,green,long,51,,274.4742,green_long
124,124,Pietro,green,long,29,,312.0432,green_long
125,125,Pietro,green,long,35,,358.0338,green_long
126,126,Pietro,green,onion,50,,266.70149999999995,green_onion
127,127,Monica,green,artistic,20,,314.3745,green_artistic
128,128,Monica,blue,artistic,50,,371.52,blue_artistic
129,129,Monica,blue,onion,39,,256.0183,blue_onion
130,130,Pietro,green,long,51,3.52,334.80150000000003,green_long
131,131,Pietro,green,onion,9,,286.48359999999997,green_onion
132,132,Romeo,green,premium,58,,312.1937,green_premium
133,133,Romeo,green,premium,54,,287.76,green_premium
134,134,Pietro,green,long,2,,272.064,green_long
135,135,Monica,green,artistic,58,,204.68410000000003,green_artistic
136,136,Pietro,yellow,long,31,,391.81899999999996,yellow_long
137,137,Pietro,green,onion,28,,294.4107,green_onion
138,138,Monica,green,artistic,38,,182.148,green_artistic
139,139,Romeo,green,onion,59,,291.8859,green_onion
140,140,Pietro,yellow,long,1,3.45,350.5992,yellow_long
141,141,Romeo,green,artistic,17,,211.09679999999997,green_artistic
142,142,Pietro,green,long,59,,324.801,green_long
143,143,Pietro,green,long,47,,374.98470000000003,green_long
144,144,Pietro,yellow,long,42,,326.31,yellow_long
145,145,Romeo,green,premium,11,,316.47200000000004,green_premium
146,146,Pietro,green,long,30,,369.3978,green_long
147,147,Pietro,green,long,14,,381.6422999999999,green_long
